id,variety,puc,block,area,description,geometry
0,Midknight,Blyderus,BR01,0.5,Blyderus MKN,"POLYGON ((30.81575641916471 -24.342606545122067, 30.815422651655357 -24.343615480527994, 30.815308334882875 -24.34361796567522, 30.815080236984176 -24.343548159405284, 30.815007844204914 -24.34347855539873, 30.81496932481645 -24.343366336179503, 30.815078191472892 -24.342999507821496, 30.81575641916471 -24.342606545122067))"
1,Midknight,Blyderus,BR02A,1.46,Blyderus MKN,"POLYGON ((30.800289751084815 -24.345109678673403, 30.799399680947626 -24.344840587701693, 30.800073950837845 -24.34282176779371, 30.800960546940154 -24.3430903217998, 30.800289751084815 -24.345109678673403))"
2,Midknight,Blyderus,BR03,2.04,Blyderus MKN,"POLYGON ((30.798895370193172 -24.33754049886608, 30.799381551435356 -24.336091304778805, 30.800263610856934 -24.336323772775895, 30.79997119845482 -24.33720758104744, 30.79973812848814 -24.33723372248722, 30.799093752708007 -24.33744642905542, 30.798895370193172 -24.33754049886608))"
3,Midknight,Blyderus,BR04,2.21,Blyderus MKN,"POLYGON ((30.730603581604605 -24.35352302334693, 30.730594287614707 -24.35351455635024, 30.730589703416992 -24.3535074623796, 30.730589232437776 -24.353503800975044, 30.73059064537543 -24.353497450726096, 30.730600535938994 -24.353476111600266, 30.73147191028888 -24.35191917348767, 30.73249668948291 -24.35006810230889, 30.732543096635162 -24.349990954762692, 30.73256187300664 -24.34997934107233, 30.73257072741593 -24.34997745313257, 30.732593271621152 -24.34998025643737, 30.732627967090185 -24.349994787835747, 30.73336430442167 -24.350623310686522, 30.73337491715337 -24.35063827113842, 30.73337623589518 -24.350645050539455, 30.733371777291914 -24.3506617272924, 30.733334852521253 -24.350718937388162, 30.732625633611594 -24.351996134649905, 30.732606576869685 -24.35200313508574, 30.732586742301567 -24.35200235725951, 30.732522571640022 -24.351982133778325, 30.73244401119376 -24.351960354644707, 30.732331918340307 -24.35212933661624, 30.732308086791896 -24.35215559603981, 30.732288933637047 -24.352172759056813, 30.732255305720905 -24.352197988684246, 30.732215335284636 -24.352232600748465, 30.732088359287552 -24.352370505422012, 30.73205341262961 -24.352414328236144, 30.7320047133785 -24.352484582014263, 30.731960504129272 -24.35254121980895, 30.731868129405385 -24.352640822166272, 30.731730289487682 -24.352806272890454, 30.731694118283766 -24.352846262507246, 30.731572480051152 -24.35296760431139, 30.731449146293357 -24.353081108278925, 30.731417182503787 -24.353108111226547, 30.73137611311601 -24.353139690935365, 30.73133962792595 -24.353165320835785, 30.73123312382553 -24.353234372803502, 30.73118715625388 -24.35326028873692, 30.731148661552492 -24.353279739984, 30.73084164589982 -24.353420589807268, 30.730736837324578 -24.353470934145495, 30.730715549063945 -24.353477656256924, 30.730685280799555 -24.35347705555765, 30.730678121915446 -24.353477999513625, 30.73066217141928 -24.353483463016453, 30.730649988756852 -24.353491844200484, 30.730624493081866 -24.353520077060885, 30.73061011251642 -24.35352491125833, 30.730603581604605 -24.35352302334693))"
4,Midknight,Blyderus,BR05,2.66,Blyderus MKN,"POLYGON ((30.73524849942056 -24.359682513293983, 30.73529025473796 -24.359700162282337, 30.735700247542923 -24.359896063680694, 30.735802373818697 -24.35994610689816, 30.73588097829917 -24.35998699586414, 30.735909859490864 -24.360005100923317, 30.73592132264427 -24.360025918331708, 30.735923555726103 -24.360034665710725, 30.73592251362124 -24.360054669404395, 30.735883955741613 -24.36012919116026, 30.735617623515157 -24.360616667649982, 30.735122251528825 -24.361513437152198, 30.73500278165083 -24.361726017255723, 30.734957375653586 -24.36180298002683, 30.73494062753985 -24.361821288236627, 30.734921348600036 -24.36183715535139, 30.734913235069385 -24.36184081699296, 30.73489116477728 -24.36184532623611, 30.73488122756313 -24.361844207401248, 30.734856924189195 -24.36183447692875, 30.734837719685444 -24.361820101583206, 30.734795849401095 -24.36178399369222, 30.73435730934739 -24.361381381903232, 30.734321133421716 -24.361344900973958, 30.734303715383426 -24.36132225295606, 30.734295676288834 -24.36129879123132, 30.734294857492163 -24.361290450790655, 30.734296420649446 -24.361280076095074, 30.7343085537274 -24.361254647916095, 30.734597365644298 -24.360746352460914, 30.735054775239483 -24.35994356283838, 30.735199999994606 -24.35969246643922, 30.73520978859146 -24.359684413957122, 30.735220025333696 -24.359681141281378, 30.735235325002257 -24.359680020925925, 30.73524849942056 -24.359682513293983))"
5,Midknight,Blyderus,BR06,1.5,Blyderus MKN,"POLYGON ((30.822456013566104 -24.350608672450132, 30.821719809334247 -24.35087552282724, 30.82284588007448 -24.34815781260368, 30.823550051911376 -24.34788905106373, 30.822456013566104 -24.350608672450132))"
6,Midknight,Blyderus,BR07A,1.8,Blyderus MKN,"POLYGON ((30.737081594746048 -24.363574524224894, 30.737555268620575 -24.363798423591803, 30.737669937372633 -24.36385497478569, 30.73771396630275 -24.3638791141353, 30.737731384341032 -24.363894980990253, 30.737738679075015 -24.363905355470667, 30.737743145238678 -24.36392061205696, 30.737743294110803 -24.363935665220364, 30.737739274563502 -24.363965568124286, 30.73772624825282 -24.363998047652984, 30.737691188868062 -24.364065583335165, 30.73764578287082 -24.364145663276766, 30.737498098453386 -24.364396883768997, 30.737459679628984 -24.364459728675225, 30.737442174065436 -24.364485953836, 30.737428076199187 -24.364501784412084, 30.737418761874657 -24.364508349599035, 30.737404916767296 -24.364512214583808, 30.737391155912903 -24.364512091038144, 30.737363718457072 -24.364507855416374, 30.73734095411159 -24.36450048056875, 30.736940943025928 -24.36431624648829, 30.736678577152023 -24.364770163741476, 30.736665625277404 -24.364789285224347, 30.73664902603579 -24.36479904937206, 30.736640763633012 -24.364801490408972, 30.736618330501035 -24.364793444181373, 30.736608920969054 -24.364780674102263, 30.736417811171574 -24.36439010702287, 30.736379699908316 -24.364307993036785, 30.736350781498594 -24.364240457491245, 30.736340695412323 -24.36421001223476, 30.736339355563217 -24.36418621201085, 30.736340323232014 -24.364172718435007, 30.736344566087496 -24.364156037931394, 30.736350669844505 -24.364141730667882, 30.736385282612893 -24.364078636237494, 30.73667826294922 -24.36356235277031, 30.736723817818586 -24.36348434065951, 30.73674168247324 -24.363455895559582, 30.736749721567833 -24.363448572370586, 30.736761482465482 -24.36344219848381, 30.7367802775709 -24.3634391810585, 30.736822073419184 -24.36345559039946, 30.737081594746048 -24.363574524224894))"
7,Midknight,Blyderus,BR08A,1.48,Blyderus MKN,"POLYGON ((30.8034002037993 -24.350418988959046, 30.803313741450033 -24.35067810325497, 30.802166022305673 -24.351180230380624, 30.80250260561182 -24.350169463594188, 30.8034002037993 -24.350418988959046))"
8,Midknight,Blyderus,BR09A,0.4,Blyderus MKN,"POLYGON ((30.823581630617706 -24.336748794618003, 30.824184807736074 -24.334891101067818, 30.82549893510038 -24.334068805529235, 30.824572091206985 -24.336878428925598, 30.824079350265123 -24.336774789686903, 30.823768432549038 -24.33674569797078, 30.823581630617706 -24.336748794618003))"
9,Midknight,Blyderus,BR10,0.49,Blyderus MKN,"POLYGON ((30.80207513510673 -24.345649445935845, 30.801188698639088 -24.345381453515394, 30.801852399695804 -24.343360468070184, 30.802743938139397 -24.343630519134013, 30.80207513510673 -24.345649445935845))"
